,property_id,property_label,person_count,rank,coverage_%
395,P1258,Rotten Tomatoes ID,2,396,0.2
396,P3845,TV Guide person ID (former scheme),2,397,0.2
397,P358,discography,2,398,0.2
398,P1441,present in work,2,399,0.2
399,P1543,monogram,2,400,0.2
400,P511,honorific prefix,2,401,0.2
401,P1636,date of baptism,2,402,0.2
402,P8309,Yle topic ID,2,403,0.2
403,P3965,Bridgeman artist ID,2,404,0.2
404,P5340,American Film Institute person ID,2,405,0.2
405,P9081,SEARCH on line catalogue ID,2,406,0.2
406,P5357,Encyclopedia of Science Fiction ID,2,407,0.2
407,P8971,Cinémathèque québécoise person ID,2,408,0.2
408,P9707,GCD creator ID,2,409,0.2
409,P2602,HockeyDB player ID,2,410,0.2
410,P6300,Hymnary author ID,2,411,0.2
411,P935,Commons gallery,2,412,0.2
412,P910,topic's main category,2,413,0.2
413,P3672,IOF athlete ID,2,414,0.2
414,P4542,World of O athlete ID,2,415,0.2
415,P7444,Rijksmuseum Research Library authority ID,2,416,0.2
416,P12483,PMB – Personen der Moderne Basis person ID,2,417,0.2
417,P5370,Entomologists of the World ID,2,418,0.2
418,P8914,ZOBODAT person ID,2,419,0.2
419,P12606,Barry Hugman's Footballers player ID,2,420,0.2
420,P1816,National Portrait Gallery (London) person ID,2,421,0.2
421,P2798,Loop ID,2,422,0.2
422,P7944,DoME artist ID,2,423,0.2
423,P412,voice type,2,424,0.2
424,P5080,Norsk biografisk leksikon ID,2,425,0.2
425,P2418,Structurae person ID,2,426,0.2
426,P184,doctoral advisor,2,427,0.2
427,P11892,Threads username,2,428,0.2
428,P2963,Goodreads author ID,2,429,0.2
429,P8021,Kooora/Goalzz player ID,2,430,0.2
430,P5034,National Library of Korea ID,2,431,0.2
431,P1327,partner in business or sport,2,432,0.2
432,P2924,Great Russian Encyclopedia Online ID (2017),2,433,0.2
433,P4602,date of burial or cremation,2,434,0.2
434,P8334,MuseScore artist ID,2,435,0.2
435,P8589,Carl-Maria-von-Weber-Gesamtausgabe ID,2,436,0.2
436,P6479,IEEE Xplore author ID,2,437,0.2
437,P14334,‎fotbolltransfers.com ID,2,438,0.2
438,P9441,Wissens-Aggregator Mittelalter und Frühe Neuzeit ID,1,439,0.1
439,P13627,Niedersächsische Personen ID,1,440,0.1
440,P2699,URL,1,441,0.1
441,P3940,OlimpBase Chess Olympiad player ID,1,442,0.1
442,P4223,Treccani's Enciclopedia Italiana ID,1,443,0.1
