,property_id,property_label,person_count,rank,coverage_%
153,P11249,KBR person ID,14,154,1.4
154,P10553,IxTheo authority ID,14,155,1.4
155,P140,religion or worldview,13,156,1.3
156,P8168,FactGrid item ID,13,157,1.3
157,P1663,ProCyclingStats cyclist ID,13,158,1.3
158,P2416,sports discipline competed in,13,159,1.3
159,P1728,AllMusic artist ID,13,160,1.3
160,P94,coat of arms image,12,161,1.2
161,P1819,genealogics.org person ID,12,162,1.2
162,P7882,ft.dk politician ID,12,163,1.2
163,P8034,Vatican Library VcBA ID,12,164,1.2
164,P1038,relative,12,165,1.2
165,P13505,badmintoncn.com star ID,12,166,1.2
166,P1409,Cycling Archives cyclist ID,12,167,1.2
167,P2387,Elonet person ID,11,168,1.1
168,P2435,PORT person ID,11,169,1.1
169,P4927,Invaluable.com person ID,11,170,1.1
170,P3762,openMLOL author ID,11,171,1.1
171,P271,NACSIS-CAT author ID,11,172,1.1
172,P11496,CiNii Research ID,11,173,1.1
173,P5815,Olympics.com athlete ID,11,174,1.1
174,P1902,Spotify artist ID,11,175,1.1
175,P800,notable work,11,176,1.1
176,P1280,CONOR.SI ID,10,177,1.0
177,P3065,RERO ID (legacy),10,178,1.0
178,P1153,Scopus author ID,10,179,1.0
179,P8687,social media followers,10,180,1.0
180,P4391,The-Sports.org athlete ID,10,181,1.0
181,P3527,Eurobasket.com player ID,10,182,1.0
182,P2032,end of work period,10,183,1.0
183,P1960,Google Scholar author ID,10,184,1.0
184,P2268,Musée d'Orsay artist or personality ID,10,185,1.0
185,P802,student,10,186,1.0
186,P1971,number of children,9,187,0.9
187,P12458,Parsifal cluster ID,9,188,0.9
188,P1416,affiliation,9,189,0.9
189,P1368,National Library of Latvia ID,9,190,0.9
190,P1442,image of grave,9,191,0.9
191,P1185,Rodovid ID,8,192,0.8
192,P1196,manner of death,8,193,0.8
193,P950,National Library of Spain SpMaBN ID (BNE v1.0),8,194,0.8
194,P13204,Wellcome Collection concept ID,8,195,0.8
195,P3348,National Library of Greece ID,8,196,0.8
196,P12597,museum-digital ID,8,197,0.8
197,P5421,Trading Card Database name ID,8,198,0.8
198,P509,cause of death,8,199,0.8
199,P11683,Ivi person ID,8,200,0.8
200,P5404,Rate Your Music artist ID,8,201,0.8
201,P3957,RealGM basketball player ID,8,202,0.8
202,P535,Find a Grave memorial ID,8,203,0.8
203,P2574,National-Football-Teams.com player ID,8,204,0.8
204,P5508,archINFORM person/group ID,8,205,0.8
205,P7212,LyricsTranslate ID,8,206,0.8
206,P1618,sport number,8,207,0.8
207,P11020,UCI rider ID,8,208,0.8
208,P2639,Filmportal ID,7,209,0.7
209,P9477,Trap Danmark ID,7,210,0.7
210,P10951,Modstand person ID,7,211,0.7
211,P10298,Sceneweb artist ID,7,212,0.7
212,P9918,Kallías ID,7,213,0.7
213,P8179,Canadiana Name Authority ID,7,214,0.7
214,P741,playing hand,7,215,0.7
215,P1469,FIFA player ID (archived),7,216,0.7
216,P4666,CineMagia person ID,7,217,0.7
217,P2722,Deezer artist ID,7,218,0.7
218,P2581,BabelNet ID,7,219,0.7
219,P5489,artist-info artist ID,7,220,0.7
220,P97,noble title,7,221,0.7
221,P2909,SecondHandSongs artist ID,7,222,0.7
222,P839,IMSLP ID,7,223,0.7
223,P6925,Musicalics composer ID,7,224,0.7
224,P6627,FaroeSoccer player ID,6,225,0.6
225,P3144,elFilm person ID,6,226,0.6
226,P4638,The Peerage person ID,6,227,0.6
227,P2481,Elite Prospects player ID,6,228,0.6
228,P3987,SHARE Catalogue author ID,6,229,0.6
229,P1053,ResearcherID,6,230,0.6
230,P6104,maintained by WikiProject,6,231,0.6
231,P1146,World Athletics athlete ID,6,232,0.6
232,P1553,Yandex Music artist ID,6,233,0.6
233,P8445,Our Campaigns candidate ID,6,234,0.6
234,P118,league or competition,6,235,0.6
235,P3265,Myspace ID,6,236,0.6
236,P1967,BoxRec boxer ID,6,237,0.6
237,P7109,Acharts.co artist ID,6,238,0.6
238,P3726,EU-Football.info player ID,6,239,0.6
239,P241,military branch,6,240,0.6
240,P8980,KANTO ID,6,241,0.6
241,P3430,SNAC ARK ID,6,242,0.6
242,P8591,Grove Music Online ID,6,243,0.6
243,P1741,GTAA ID,5,244,0.5
244,P9965,Musik-Sammler.de artist ID,5,245,0.5
245,P3171,Olympic.org athlete ID (archived),5,246,0.5
246,P9097,American Academy in Rome ID,5,247,0.5
247,P7052,Jaxsta profile ID,5,248,0.5
248,P6844,abART person ID,5,249,0.5
249,P7929,Roglo person ID,5,250,0.5
250,P2373,Genius artist ID,5,251,0.5
251,P949,National Library of Israel ID (old),5,252,0.5
252,P3829,Publons author ID,5,253,0.5
253,P1830,owner of,5,254,0.5
254,P2276,UEFA player ID,5,255,0.5
255,P3478,Songkick artist ID,5,256,0.5
256,P607,participated in conflict,5,257,0.5
257,P5504,RISM ID,5,258,0.5
258,P5019,Brockhaus Enzyklopädie online ID,5,259,0.5
259,P9995,MYmovies person ID,4,260,0.4
260,P4159,WeRelate person ID,4,261,0.4
261,P8235,LiederNet composer ID,4,262,0.4
262,P1440,FIDE player ID,4,263,0.4
263,P2962,title of chess person,4,264,0.4
